sigla,sistema,tipo
APA,Agricultura Pecuária e Abastecimento,Web
ARR,Arrecadação Tributária,Web
CAC,Atencimento ao Cidadão,Web
CGW,Cadastros Gerais,Web
CPC,Prestação de Contas,Web
CTI,Controle Interno,Web
CTM,Cadastro Técnico Municipal,Web
CTP,Contabilidade Publica,Web
GAB,Gestão de Gabinetes,Web
GAS,Gestão de Assistencia Social,Web
GBB,Gestão de Bibliotecas,Web
GCP,Compras e Alienações Publicas,Web
GEG,Gestão Estrategica Governamental,Web
GLM,Gestão de Leis Municipais,Web
GPL,Gestão de Processo Administrativo,Web
GRH,Gestão de Recursos Humanos,Web
GRP,Sonner Web,Web
GTR,Gestão de Turismo,Web
NCL,Nucleo de Gerenciamento de Ambientes,Web
PDC,Portal do Cidadão,Web
PDF,Protocolo Documentos e Fluxos,Web
PEJ,Execução Judicial,Web
PLG,Planejamento de Governo,Web
REG,Maquina de Regras,Web
SFM,Fiscalização Municipal,Web
SGE,Gestão Educacional,Web
SGO,Gestão de Obras Publicas,Web
SGT,Gestão de Transito,Web
SNM ,Saneamento Municipal,Web
SMT,Segurança e Medicina do Trabalho,Web
SPP,Patrimonio Publico,Web
GSP,Gestão de Saúde Publica,Web
TRB,Sistema de Arrecadação Tributária,Desk
SSP,Saúde Publica,Desk
